id,popularity,revenue,vote_average,title
1024,9.438042,3049135,6.9,Heavenly Creatures
17207,2.688562,26325256,6,Houseguest
13701,7.983666,0,6.9,Immortal Beloved
14819,9.546707,17689177,6,Heavyweights
32631,2.756986,0,6,The Hunted
11777,5.146352,0,5.9,I.Q.
628,11.970205,223664608,7.2,Interview with the Vampire
87729,1.596058,2474000,5.2,Jefferson in Paris
18713,0.748846,0,4.8,The Jerky Boys
6280,6.710215,37000000,4.7,Junior
9061,9.195256,0,6,Just Cause
37108,5.874511,0,4.3,A Kid in King Arthur's Court
6071,7.797512,0,5.7,Kiss of Death
11,42.149697,775398007,8.1,Star Wars
9587,9.774994,0,7,Little Women
19101,7.731725,0,7.4,A Little Princess
49980,0.84508,0,7.4,Ladybird Ladybird
17961,1.948315,0,6.6,L'Enfer
18183,4.126083,21665468,6.6,Like Water for Chocolate
4476,12.199047,160638883,7.2,Legends of the Fall
11008,9.253362,0,6.1,Major Payne
47504,1.861292,0,6.4,Little Odessa
32325,1.788829,0,5.7,Mi Vida Loca
43742,3.290192,0,4.3,Love Affair
28313,7.698526,7603766,6.4,Losing Isaiah
11318,4.81307,0,6.7,The Madness of King George
3036,14.287753,112006296,6.1,Mary Shelley's Frankenstein
40490,2.558118,0,5.1,Man of the House
24070,2.899608,0,5.2,Mixed Nuts
8986,3.770115,18137661,5.6,Milk Money
10510,5.831622,46264384,6.4,Miracle on 34th Street
17402,1.137266,5,5.6,Miami Rhapsody
38722,3.121288,0,7,My Family
8438,9.518564,17381942,6.9,Murder in the First
11593,2.891269,0,7,Nobody's Fool
1945,5.930957,106683817,6.1,Nell
39310,0.629955,0,6.9,New Jersey Drive
109560,0.004537,0,0,New York Cop
56428,0.426952,0,4,Beyond Bedlam
63105,1.466491,0,4.6,Nemesis 2 - Nebula
131957,0.769522,0,7.4,Nina Takes a Lover
241,11.226856,50282766,6.9,Natural Born Killers
9058,4.936761,0,6.4,Only You
527,4.025276,2201126,7.6,Once Were Warriors
18220,6.448039,0,4.6,Poison Ivy II: Lily
6950,13.676444,189859560,6.4,Outbreak
101,20.477329,45284974,8.2,Leon: The Professional
63020,1.433544,2832826,6.6,The Perez Family
2307,0.463307,0,7,A Pyromaniac's Love Story
680,140.950236,213928762,8.3,Pulp Fiction
41478,7.160149,6834525,6.4,Panther
25296,1.638622,152322,6.1,Pushing Hands
40156,1.881932,4176932,6.4,Priest
11450,7.772505,0,7.1,Quiz Show
30304,1.296912,0,7.4,Picture Bride
10452,4.405405,0,7,Queen Margot
12106,7.54701,18552460,6.2,The Quick and the Dead
161495,3.395867,12400000,6.4,Roommates
3586,6.259433,11300653,5.3,Prêt-à-Porter
110,7.832755,0,7.8,Three Colors: Red
108,8.843517,0,7.7,Three Colors: Blue
109,6.5898,0,7.3,Three Colors: White
159185,0.078257,0,7,"Red Firecracker, Green Firecracker"
36357,1.155255,0,5.1,Rent-a-Kid
92769,0.499601,0,4.7,Relative Fear
28033,1.390885,0,5,Stuart Saves His Family
22586,8.910462,9771658,6.5,The Swan Princess
14334,1.750481,0,6.1,The Secret of Roan Inish
2636,10.388183,170362582,5.5,The Specialist
2164,13.328924,196567262,6.8,Stargate
11395,9.665424,189833357,6.3,The Santa Clause
278,51.645403,28341469,8.5,The Shawshank Redemption
9905,8.223026,0,7,Shallow Grave
87078,1.298224,102780,6,Suture
12527,1.777197,0,7.1,Strawberry and Chocolate
20306,5.869261,0,6.7,Swimming with Sharks
36614,1.407427,0,6,The Sum of Us
27993,5.05806,0,5.7,Senior Trip
31439,5.260627,0,7.7,To Live
9067,7.602087,4064495,5.5,Tank Girl
9059,9.455342,0,6.7,Tales from the Crypt: Demon Knight
193,8.105708,120000000,6.4,Star Trek: Generations
25066,2.86007,12000000,5.4,Tales from the Hood
46797,0.704204,0,5.8,Tom & Viv
12122,6.529879,0,5.6,Village of the Damned
11381,11.971318,32648673,6.8,Tommy Boy
32636,7.039846,0,6.1,Vanya on 42nd Street
36141,2.059771,0,5.6,The Underneath
95963,0.620873,0,6.6,The Walking Dead
1587,10.3919,10032765,7.5,What's Eating Gilbert Grape
9271,5.188399,24048000,5.4,Virtuosity
2064,15.783615,182057016,6.5,While You Were Sleeping
19855,3.908596,0,6.3,The War
60855,0.372239,759393,5.5,Double Happiness
236,5.254847,15119639,6.9,Muriel's Wedding
48287,2.15805,0,5.3,The Baby-Sitters Club
3049,11.247957,107217396,6.4,Ace Ventura: Pet Detective
2759,8.328596,11220670,7.2,"The Adventures of Priscilla, Queen of the Desert"
12635,2.487951,0,6.2,Backbeat
10497,11.298195,1862805,7,Bitter Moon
11382,5.72288,0,7,Bullets Over Broadway
9331,7.513245,215887717,6.4,Clear and Present Danger
10731,15.263829,117615211,6.4,The Client
10464,6.924689,0,6.4,"Corrina, Corrina"
34152,2.533022,0,6.7,Crooklyn
9495,15.799336,94000000,7.3,The Crow
29973,2.583363,1007583,6.1,Cobb
888,15.019586,341631208,5,The Flintstones
13,48.307194,677945399,8.2,Forrest Gump
712,8.990345,254700832,6.6,Four Weddings and a Funeral
16295,7.817811,38290723,6.4,Higher Learning
48992,0.289295,1777020,6.3,I Like It Like That
10879,3.570874,61947267,5.3,I Love Trouble
10660,11.272073,0,6.1,It Could Happen to You
10714,10.714235,0,5.9,The Jungle Book
41647,0.568884,449707,7.3,"The Wonderful, Horrible Life of Leni Riefenstahl"
8587,21.605761,788241776,8,The Lion King
1689,5.681522,4858139,6,Little Buddha
11596,9.860522,18090181,6.4,New Nightmare
854,14.13488,351583407,6.6,The Mask
9359,15.050326,0,6.6,Maverick
23333,4.739054,0,6.3,Mrs. Parker and the Vicious Circle
36593,10.587232,51132598,6.4,The Naked Gun 33⅓: The Final Insult
12280,4.006063,0,6.1,The Paper
2788,6.514592,20079850,6.5,Reality Bites
10427,5.137903,2000000,6.4,Red Rock West
11011,6.595255,0,5.4,Ri¢hie Ri¢h
49803,4.931565,0,4.9,Safe Passage
8987,10.511241,0,6.1,The River Wild
1637,10.859292,350448145,6.8,Speed
15128,2.334226,0,5.5,Speechless
8831,8.907074,101646581,5.5,Timecop
36955,11.396099,378882411,6.8,True Lies
10449,4.322544,50021959,6,When a Man Loves a Woman
10395,14.063845,0,6,Wolf
12160,9.277147,25052000,6.5,Wyatt Earp
40480,0.912415,0,4.9,Bad Company
52038,0.406113,953,6.5,A Man of No Importance
29444,2.504529,0,6.1,S.F.W.
26352,3.021526,29392418,6,A Low Down Dirty Shame
39953,0.054148,0,2,"Boys Life: Three Stories of Love, Lust, and Liberation"
41580,0.934312,0,5.9,Colonel Chabert
315,4.220541,0,6.5,"Faster, Pussycat! Kill! Kill!"
22067,0.912909,20851521,5.9,Jason's Lyric
18242,0.381704,0,7.1,The Secret Adventures of Tom Thumb
11667,13.58449,99423521,4.1,Street Fighter
32502,2.342756,0,6.7,Coldblooded
267188,0.251223,0,0,Desert Winds
28732,1.108494,0,6.3,Fall Time
75555,0.268043,0,3.4,The Fear
42981,0.142357,0,7.5,Frank and Ollie
278939,0.405392,0,10,Girl in the Cadillac
291731,0.014925,0,0,Homage
226229,0.302957,0,4,Mirage
203119,0.012456,0,0,Open Season
172923,0.233376,0,5,Dos Crímenes
316098,0.0368,0,4,Brother Minister: The Assassination of Malcolm X
8011,6.866634,36800000,4.5,Highlander: The Final Dimension
171857,0.100685,0,5,Federal Hill
2654,8.497643,8946600,7.1,In the Mouth of Madness
18069,1.888534,0,7.2,8 Seconds
19092,4.38154,0,6.7,Above the Rim
2758,17.555909,48919043,6.5,Addams Family Values
38129,0.394194,0,4.5,Martin Lawrence: You So Crazy
10436,8.013617,32255440,7,The Age of Innocence
13595,7.09232,0,5.8,Airheads
46094,1.896273,21011500,5.1,The Air Up There
9409,12.967239,0,4.9,Another Stakeout
11853,14.644772,15240435,4.6,Bad Girls
16771,1.632711,0,6.6,Barcelona
46924,2.783872,0,5,Being Human
11041,5.673735,0,5,The Beverly Hillbillies
306,11.787784,119208989,5.5,Beverly Hills Cop III
14522,8.398845,0,6.6,Black Beauty
26203,3.00282,16668552,6.3,Blink
178,13.155071,30156002,6,Blown Away
19819,6.131056,0,5.7,Blue Chips
57834,4.993829,0,6.1,Blue Sky
4722,6.559693,428868,5.8,Body Snatchers
18215,4.304224,1796389,4.5,Boxing Helena
1607,6.115628,17287898,7.4,A Bronx Tale
26391,1.679042,3662459,4.9,Cabin Boy
117553,1.316741,2570145,3.7,Calendar Girl
6075,8.698509,36516012,7.7,Carlito's Way
11310,8.605703,0,4.9,City Slickers II: The Legend of Curly's Gold
18658,2.724621,7355425,5.7,Clean Slate
9350,9.830853,255000211,6.1,Cliffhanger
9612,10.722729,0,4.8,Coneheads
2124,14.228963,19726050,5.4,Color of Night
26261,7.042878,0,5,Cops & Robbersons
19176,4.286279,0,5.1,The Cowboy Way
49299,2.70097,0,5.4,Dangerous Game
11566,13.696394,63000000,6.3,Dave
9571,6.8652,7993039,7.4,Dazed and Confused
9739,11.626116,159055768,6.4,Demolition Man
24257,0.408159,0,7.1,The Endless Summer 2
34444,2.970724,0,4.2,Even Cowgirls Get the Blues
26141,3.555139,0,5.4,Fatal Instinct
10997,4.875827,0,7.8,Farewell My Concubine
50463,1.344876,0,3.3,The Favor
10443,9.284624,0,6.8,Fearless
20239,0.985441,0,5.8,Fear of a Black Hat
16297,2.969003,0,6.1,With Honors
18551,1.896869,9488998,6.2,Flesh and Bone
25440,0.409427,0,4.3,Widows' Peak
9024,8.468869,11146270,5.7,For Love or Money
37233,9.678367,270248367,6.6,The Firm
1634,5.990572,153698625,6,Free Willy
13815,3.970215,0,7.6,Fresh
5503,10.08937,368875760,7.2,The Fugitive
35588,4.653462,18635620,5.9,Geronimo: An American Legend
2087,14.214403,30,5.4,The Getaway
41579,2.410545,0,4.5,Getting Even with Dad
18620,0.775898,0,3.9,Go Fish
41006,5.22583,0,5.2,A Good Man in Africa
4916,5.385108,22886222,5.6,Guilty as Sin
2019,7.834351,74189677,6.1,Hard Target
31642,4.190541,0,6.4,Heaven & Earth
9255,13.482371,133752825,6.2,Hot Shots! Part Deux
26271,2.138959,0,4.7,Live Nude Girls
10612,5.331753,0,6.1,The Englishman Who Went Up a Hill But Came Down a Mountain
2259,10.687795,0,6.7,The House of the Spirits
16097,0.996047,0,4.6,House Party 3
11934,7.550545,0,7.1,The Hudsucker Proxy
106143,1.742974,0,5.7,I'll Do Anything
12475,6.071466,28881266,4.7,In the Army Now
9386,12.637158,176997168,6.8,In the Line of Fire
7984,7.405895,65796862,7.6,In the Name of the Father
59930,0.613335,8880705,3.9,The Inkwell
15765,14.820883,0,6.9,What's Love Got to Do with It
31643,4.563989,0,4.6,Jimmy Hollywood
6,5.538671,12136938,6.4,Judgment Night
329,8.863776,920100000,7.6,Jurassic Park
10909,8.4337,2395231,6.5,Kalifornia
507,4.948569,418961,6.1,Killing Zoe
34024,4.375347,0,6.4,King of the Hill
29918,3.645342,0,6.1,Lassie
9593,9.434006,137298489,6.1,Last Action Hero
42580,6.446229,0,5.1,Life With Mikey
22317,2.913584,0,5.7,Lightning Jack
1413,6.516976,1499795,6.6,M. Butterfly
12121,5.43085,0,5.3,Made in America
2246,9.861672,46405336,5.9,Malice
10502,5.997712,24760338,6.2,The Man without a Face
10440,8.939404,11285588,7.1,Manhattan Murder Mystery
9516,5.260924,27900000,7.2,Menace II Society
2320,13.106291,121969216,5.8,Executive Decision
5879,8.932494,0,6.5,In the Realm of the Senses
83718,0.534606,0,7,What Happened Was...
11971,8.62724,0,7.2,Much Ado About Nothing
2625,6.579753,0,5.9,Mr. Jones
31911,13.011091,0,5.5,Mr. Wonderful
788,11.16553,441286195,7,Mrs. Doubtfire
21450,8.665198,0,7.5,Naked
11231,9.9697,15826984,4.8,The Next Karate Kid
41588,0.596207,0,4.8,The New Age
10447,9.715187,15340000,6.1,No Escape
31586,15.534707,0,4.8,North
9300,3.800785,0,6.7,Orlando
9559,8.040589,135130999,7.2,A Perfect World
9800,13.373006,206678440,7.6,Philadelphia
713,7.436758,116700000,7.1,The Piano
8291,6.972599,27515786,6.9,Poetic Justice
18133,3.199976,23042200,6,The Program
25557,7.272296,8638072,5.6,The Puppet Masters
22588,8.506727,0,5.8,Radioland Murders
10872,5.868677,11439193,6.7,The Ref
1245,12.222576,23237911,7.5,The Remains of the Day
11858,4.985157,24332324,5.9,Renaissance Man
7007,6.279082,107198790,5.8,Rising Sun
10467,3.416181,0,5.5,The Road to Wellville
5550,8.685798,10696210,4.2,RoboCop 3
8005,17.136672,35739755,6.4,Robin Hood: Men in Tights
2088,9.796318,3275585,5.7,Romeo Is Bleeding
10412,5.157926,0,6.6,Romper Stomper
47889,0.941994,1001437,5.6,Ruby in Paradise
14534,5.914833,22750363,7.2,Rudy
56583,1.065843,0,4,The Saint of Fort Washington
41878,1.031556,0,6.2,Savage Nights
424,41.725123,321365567,8.3,Schindler's List
35233,5.715608,0,5.3,The Scout
14291,12.048587,7266383,7.3,Searching for Bobby Fischer
103413,0.882596,0,5.9,Second Best
11236,6.499523,0,7.1,The Secret Garden
11592,5.305311,7820688,6.4,Serial Mom
8850,7.881107,48063435,5.4,The Shadow
10445,2.96586,0,6.8,Shadowlands
695,8.829337,6110979,6.9,Short Cuts
43535,4.13516,0,5.7,A Simple Twist of Fate
12519,2.86213,7770731,5.2,Sirens
23210,8.730025,0,6.5,Six Degrees of Separation
858,10.234919,227799884,6.5,Sleepless in Seattle
867,11.23297,116300000,4.9,Sliver
78,96.272374,33139618,7.9,Blade Runner
13203,9.122718,36448200,5.6,Son in Law
10442,8.051914,11585483,6.1,So I Married an Axe Murderer
11074,13.390917,0,5.4,Striking Distance
33367,1.825468,0,4,Harem
9607,7.198455,20915465,4,Super Mario Bros.
17585,3.644641,7690013,6.1,Surviving the Game
9057,8.012225,16478900,5,Terminal Velocity
20967,0.873068,0,7.4,Thirty Two Short Films About Glenn Gould
10635,10.82236,0,6.3,Threesome
9479,17.730913,75634409,7.6,The Nightmare Before Christmas
10057,6.34785,53898845,6.2,The Three Musketeers
11969,11.338194,56505065,7.4,Tombstone
41590,0.85586,0,5.5,Trial by Jury
319,17.189328,12281551,7.5,True Romance
26408,1.273617,0,7.3,The War Room
15139,7.436001,13670688,6.2,The Pagemaster
161158,0.741522,0,6,"Paris, France"
218473,0.38247,0,0,"The Beans of Egypt, Maine"
85247,0.422224,0,3,Killer
11446,5.14056,0,6.9,Welcome to the Dollhouse
51980,2.759302,0,6.3,Germinal
24405,9.85327,1596687,4.7,Chasers
11655,5.513024,0,6.4,Cronos
11800,0.449733,0,4,Naked in New York
8223,3.647321,0,6.8,Kika
14587,0.441585,0,5.1,Bhaji on the Beach
31504,1.960563,0,6,Little Big League
41653,1.764582,0,6.2,The Slingshot
53185,0.00015,0,0,Wide Eyed and Legless
95743,0.002789,0,0,Foreign Student
23637,3.456868,0,7.2,"Ciao, Professore!"
17600,2.799575,0,5.3,Spanking the Monkey
10897,6.707109,67308282,6.3,The Little Rascals
349394,8.20E-05,0,0,À la mode
21352,3.139316,0,5,Andre
68806,0.046196,0,5,The Escort
37345,1.943323,3021629,4.4,Princess Caraboo
32562,6.784687,0,7,The Celluloid Closet
47507,1.040873,0,6.8,Café au Lait
25403,2.904734,0,6.9,Dear Diary
124304,1.213481,0,6,I Don't Want to Talk About It
9066,4.233092,0,5.9,The Brady Bunch Movie
771,0.702543,476684675,7.1,Home Alone
251,11.945397,505000000,6.9,Ghost
812,16.357419,504050219,7.4,Aladdin
280,22.661695,520000000,7.7,Terminator 2: Judgment Day
581,11.654349,424208848,7.6,Dances with Wolves
80350,0.426887,0,6.3,Tough and Deadly
268,19.10673,411348924,7,Batman
274,4.307222,272742922,8.1,The Silence of the Lambs
408,16.263878,184925486,6.9,Snow White and the Seven Dwarfs
10020,23.433511,377350553,7.5,Beauty and the Beast
10895,14.202284,84300000,6.9,Pinocchio
114,13.348451,463000000,7,Pretty Woman
41043,0.345748,0,6,Window to Paris
576,11.722424,638641,7.7,The Wild Bunch
15477,3.40523,0,5.5,Love and a .45
59146,0.088451,0,6.5,The Wooden Man's Bride
124472,0.076352,0,7,A Great Day in Harlem
30528,2.47308,0,6.1,Bye Bye Love
7300,7.009946,97529550,6.1,One Fine Day
10824,4.983552,13940383,5,Candyman: Farewell to the Flesh
261246,1.461029,0,5,Century
275,12.61469,60611975,7.7,Fargo
25059,14.657754,32709423,6,Homeward Bound II: Lost in San Francisco
11827,7.640073,0,6.3,Heavy Metal
8766,5.263187,16675000,4.9,Hellraiser: Bloodline
23570,8.174116,0,4.6,The Pallbearer
47333,2.420301,0,7.1,Jane Eyre
54850,0.618066,0,4,Loaded
51242,1.306628,0,7.1,Bread and Chocolate
